Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48
SRR960460 - illumina_universal_adapter	(1, 0.0)	(2, 5.221733334537813e-06)	(3, 2.088693333815125e-05)	(4, 5.2217333345378134e-05)	(5, 6.788253334899157e-05)	(6, 7.83260000180672e-05)	(7, 8.876946668714282e-05)	(8, 9.921293335621846e-05)	(9, 0.00011487813335983189)	(10, 0.00015143026670159658)	(12, 0.0002062584667142436)	(14, 0.00028458446673231084)	(16, 0.0003707430667521847)	(18, 0.0004934538001138233)	(20, 0.000587445000135504)	(22, 0.000697101400160798)	(24, 0.0008328664668587813)	(26, 0.001010405400233067)	(28, 0.0011331161335947056)	(30, 0.00131326593363626)	(32, 0.0016004612670358397)	(34, 0.0019477065337826045)	(36, 0.002428106000560083)	(38, 0.0029006728673357553)	(40, 0.0035351134674820994)	(42, 0.004396699467680839)	(44, 0.005485430867931972)	(46, 0.006905742334926258)	(48, 0.008542755735303862)	(50, 0.0107228294024734)	(52, 0.01358695013646739)	(54, 0.017325711203996466)	(56, 0.021636252071657428)	(58, 0.026732663806166332)	(60, 0.03288125480758461)	(62, 0.04059375494269696)	(64, 0.050415835344962585)	(66, 0.06250414801441762)	(68, 0.07700229061776187)	(70, 0.09444287995511816)	(72, 0.11674229216026188)	(74, 0.14522162576683112)	(76, 0.1809200057083989)	(78, 0.22330220431817505)	(80, 0.2750313055967739)	(82, 0.3383082701447031)	(84, 0.41857675496321833)	(86, 0.5175729863860534)	(88, 0.6374300424803672)
SRR960460 - polya	(1, 0.01411434520325571)	(2, 0.02550294560588268)	(3, 0.029722106140189233)	(4, 0.03792544920874814)	(5, 0.04197751427634948)	(6, 0.0455700668105115)	(7, 0.050102531344890316)	(8, 0.05891681721359015)	(9, 0.07401284828373897)	(10, 0.08878774275381371)	(12, 0.09850016675605404)	(14, 0.11315235049276715)	(16, 0.12744945636273167)	(18, 0.1409241392325065)	(20, 0.15705929523622836)	(22, 0.17817076310776472)	(24, 0.19963208711271513)	(26, 0.22571203425206424)	(28, 0.250468271991108)	(30, 0.26652510199481183)	(32, 0.27936273339777296)	(34, 0.29360240020105766)	(36, 0.30683949420411094)	(38, 0.3197476190070885)	(40, 0.3335617145436083)	(42, 0.34679880854666156)	(44, 0.36029960008310913)	(46, 0.3744766060863792)	(48, 0.3869669922225937)	(50, 0.39814150155850464)	(52, 0.40922724142772837)	(54, 0.42317188029761166)	(56, 0.43547428403378274)	(58, 0.4465861325696792)	(60, 0.4563768825719376)	(62, 0.46665064290764074)	(64, 0.47757711991016116)	(66, 0.48895266597945175)	(68, 0.5006963442488273)	(70, 0.5124426333848702)	(72, 0.5263376657880752)	(74, 0.5385878521909009)	(76, 0.552668256127482)	(78, 0.5659758435305517)	(80, 0.5761608343995678)	(82, 0.586163064601875)	(84, 0.5985934008047422)	(86, 0.6131594259414355)	(88, 0.6255688752109646)
SRR960461 - illumina_universal_adapter	(1, 0.0)	(2, 5.1753367876291235e-06)	(3, 1.0350673575258247e-05)	(4, 4.657803108866211e-05)	(5, 6.210404145154948e-05)	(6, 7.763005181443686e-05)	(7, 8.79807253896951e-05)	(8, 9.315606217732422e-05)	(9, 0.00010350673575258247)	(10, 0.00013714642487217178)	(12, 0.00017854911917320477)	(14, 0.00023289015544331054)	(16, 0.00030275720207630373)	(18, 0.0004062639378288862)	(20, 0.0004890693264309521)	(22, 0.0005692870466392035)	(24, 0.0006676184456041569)	(26, 0.0007685375129629249)	(28, 0.0009341482901670568)	(30, 0.0011075220725526324)	(32, 0.001381814922296976)	(34, 0.0017803158549444184)	(36, 0.002354778238371251)	(38, 0.0030301596891568515)	(40, 0.004000535336837313)	(42, 0.005351298238408513)	(44, 0.006989292331693131)	(46, 0.009328544559701495)	(48, 0.012242259171136692)	(50, 0.015784777202268827)	(52, 0.02030802155465668)	(54, 0.02652101336820544)	(56, 0.03384929025948828)	(58, 0.04271464217669697)	(60, 0.053727758860771746)	(62, 0.06778397357597245)	(64, 0.08681368694408473)	(66, 0.11042874870603642)	(68, 0.1380935115043079)	(70, 0.17240340673789517)	(72, 0.2161220642513922)	(74, 0.2722667053919867)	(76, 0.34321022207680674)	(78, 0.42878959119704196)	(80, 0.5320168587630925)	(82, 0.6591334809408389)	(84, 0.8191911217718448)	(86, 1.0173625303753453)	(88, 1.255779945507844)
SRR960461 - polya	(1, 0.013652538445765628)	(2, 0.023387346943296007)	(3, 0.027056660725725056)	(4, 0.034343534922706864)	(5, 0.037624698446063726)	(6, 0.040341750259569015)	(7, 0.044549299067911496)	(8, 0.05358543709911194)	(9, 0.06812295813556216)	(10, 0.08149085305800818)	(12, 0.09047265005293852)	(14, 0.10387159699611032)	(16, 0.11670384456103673)	(18, 0.12942741005342295)	(20, 0.14451092912096802)	(22, 0.16376835730773598)	(24, 0.1826971516084895)	(26, 0.20642865844816283)	(28, 0.22910698425155368)	(30, 0.24356428756779563)	(32, 0.2553252404176828)	(34, 0.26869831067691646)	(36, 0.28064557565115833)	(38, 0.29238323948550116)	(40, 0.3049800092265904)	(42, 0.31740858052208176)	(44, 0.33026152943415865)	(46, 0.3433396054964975)	(48, 0.35488319420130426)	(50, 0.3651277733724161)	(52, 0.37492727357979183)	(54, 0.38707896435714506)	(56, 0.39834567254381364)	(58, 0.4088516062227008)	(60, 0.41764450342488263)	(62, 0.4273948379327759)	(64, 0.43749192000544035)	(66, 0.44743115430608205)	(68, 0.4576032787621671)	(70, 0.4683472779332851)	(72, 0.4809052326484672)	(74, 0.4914629196952306)	(76, 0.5032833889181756)	(78, 0.5148088639442256)	(80, 0.5237440829080673)	(82, 0.5323636063278636)	(84, 0.5430506767943177)	(86, 0.5556370958618317)	(88, 0.566044698141754)
SRR960462 - illumina_universal_adapter	(1, 0.0)	(2, 5.624401352781013e-06)	(3, 1.687320405834304e-05)	(4, 2.8122006763905065e-05)	(5, 4.4995210822248106e-05)	(6, 5.624401352781013e-05)	(7, 6.186841488059114e-05)	(8, 7.311721758615317e-05)	(9, 7.874161893893419e-05)	(10, 0.00010686362570283924)	(12, 0.0001349856324667443)	(14, 0.00021935165275845952)	(16, 0.00030934207440295574)	(18, 0.00040495689740023294)	(20, 0.00048369851633916713)	(22, 0.0005765011386600538)	(24, 0.000677740363010112)	(26, 0.0007733551860073893)	(28, 0.0009420872265908198)	(30, 0.0011333168725853743)	(32, 0.0013723539300785673)	(34, 0.0016816960044815231)	(36, 0.0021513335174387378)	(38, 0.002803764074361335)	(40, 0.003689607287424345)	(42, 0.004898853578272263)	(44, 0.006704286412514969)	(46, 0.009024351970537137)	(48, 0.011833740446251252)	(50, 0.01536867669647412)	(52, 0.01969102913608633)	(54, 0.025782255801148166)	(56, 0.03299273833541343)	(58, 0.04155307719434613)	(60, 0.05217757134974946)	(62, 0.06634262615672844)	(64, 0.08490315062090578)	(66, 0.10742044143676457)	(68, 0.1350221910755374)	(70, 0.16862236475705117)	(72, 0.21143249565374383)	(74, 0.2668384733799896)	(76, 0.3355096016967694)	(78, 0.41911632780585917)	(80, 0.5216210424602932)	(82, 0.6466767943387026)	(84, 0.8033444940204177)	(86, 0.9982749961051021)	(88, 1.2299103414180355)
SRR960462 - polya	(1, 0.014038505776541409)	(2, 0.024196174619663918)	(3, 0.027717049866504834)	(4, 0.03480941997236169)	(5, 0.03844840764761101)	(6, 0.04152495518758222)	(7, 0.04576012940622633)	(8, 0.05419673143539785)	(9, 0.06808337837541417)	(10, 0.08142727058488712)	(12, 0.09046287135812982)	(14, 0.10449575273331844)	(16, 0.1176652885008552)	(18, 0.129805558820833)	(20, 0.14510674270107377)	(22, 0.1645840445857544)	(24, 0.18399947805555447)	(26, 0.20843750193338795)	(28, 0.23113758579321214)	(30, 0.246165986207843)	(32, 0.2581150268818263)	(34, 0.2708796057519628)	(36, 0.28282302202459325)	(38, 0.2949154849330724)	(40, 0.30780380063297014)	(42, 0.3201887324117939)	(44, 0.3333160851691848)	(46, 0.34614534465487834)	(48, 0.35795658749571846)	(50, 0.36856702064773983)	(52, 0.37877530910303736)	(54, 0.39182110804081294)	(56, 0.4039613783607907)	(58, 0.41468429953986774)	(60, 0.42360178788470204)	(62, 0.43337137303448264)	(64, 0.44364434210533715)	(66, 0.45389481357078054)	(68, 0.4644518149099505)	(70, 0.47539689994246237)	(72, 0.4881558544112461)	(74, 0.4994721499330415)	(76, 0.5116771008685763)	(78, 0.52338429228439)	(80, 0.5326926765232425)	(82, 0.5419420045478909)	(84, 0.5527352307438778)	(86, 0.5644311733569858)	(88, 0.5747772596454265)
SRR960463 - illumina_universal_adapter	(1, 0.0)	(2, 0.0)	(3, 1.8201850145259865e-05)	(4, 6.370647550840953e-05)	(5, 6.370647550840953e-05)	(6, 9.100925072629932e-05)	(7, 0.00010921110087155919)	(8, 0.00010921110087155919)	(9, 0.00012741295101681907)	(10, 0.0001592661887710238)	(12, 0.00018656896398891362)	(14, 0.00022752312681574832)	(16, 0.0002548259020336381)	(18, 0.00029122960232415783)	(20, 0.0003412846902236225)	(22, 0.00036858746544151224)	(24, 0.00038223885305045717)	(26, 0.00042319301587729187)	(28, 0.00046414717870412657)	(30, 0.0005460555043577959)	(32, 0.0006143124424025204)	(34, 0.0007189730807377647)	(36, 0.0008964411196540484)	(38, 0.0011512670216876865)	(40, 0.001497102174447624)	(42, 0.00201585490358753)	(44, 0.0027075252091074047)	(46, 0.0034720029152083194)	(48, 0.004541361611242336)	(50, 0.005788188346192637)	(52, 0.007444556709411285)	(54, 0.0094558611504625)	(56, 0.011940413695290471)	(58, 0.015043829145057277)	(60, 0.018970878313897092)	(62, 0.02411290097993301)	(64, 0.030538154081209738)	(66, 0.038651628783459326)	(68, 0.04856253618755332)	(70, 0.0610217026119837)	(72, 0.07622934840834832)	(74, 0.0956552729758769)	(76, 0.12034608269792192)	(78, 0.15067946596499748)	(80, 0.18893065404526108)	(82, 0.23554104180473528)	(84, 0.29573911069764597)	(86, 0.3690015575323169)	(88, 0.4588322384617107)
SRR960463 - polya	(1, 0.004441251435443407)	(2, 0.01472529676751523)	(3, 0.019749007407606954)	(4, 0.035757534610363004)	(5, 0.04271064136585227)	(6, 0.04832591213566494)	(7, 0.05582507439551201)	(8, 0.06778368994094774)	(9, 0.08944389161380698)	(10, 0.1160504460636406)	(12, 0.12908297076764663)	(14, 0.14485487391851432)	(16, 0.15826508701303452)	(18, 0.17079706083804594)	(20, 0.18223692365434177)	(22, 0.198118037906081)	(24, 0.21343489480331718)	(26, 0.23431241691993024)	(28, 0.2647686626754863)	(30, 0.2847497436724453)	(32, 0.2983010211055913)	(34, 0.31202521611511724)	(36, 0.32513054821970433)	(38, 0.3363246860590392)	(40, 0.3481058335655586)	(42, 0.36025556853751955)	(44, 0.3725918724734694)	(46, 0.3855470393143582)	(48, 0.3980471599016153)	(50, 0.40841311355934085)	(52, 0.418283066800608)	(54, 0.4297183791543675)	(56, 0.44070319571703187)	(58, 0.4514741405404894)	(60, 0.46112567158001344)	(62, 0.46998542213821864)	(64, 0.4802785683953631)	(66, 0.48959791566973615)	(68, 0.49928585040955076)	(70, 0.5091512531882816)	(72, 0.5200041063373928)	(74, 0.5293962610123468)	(76, 0.540235462773849)	(78, 0.5524261519086369)	(80, 0.5623598116254125)	(82, 0.5712150117210815)	(84, 0.5807209279594434)	(86, 0.5918149556229793)	(88, 0.6014664866625032)
SRR960464 - illumina_universal_adapter	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 3.9151841903296324e-05)	(5, 6.851572333076856e-05)	(6, 6.851572333076856e-05)	(7, 6.851572333076856e-05)	(8, 9.78796047582408e-05)	(9, 9.78796047582408e-05)	(10, 0.00012234950594780102)	(12, 0.00014192542689944916)	(14, 0.0001566073676131853)	(16, 0.0001859712490406575)	(18, 0.00023491105141977794)	(20, 0.0002593809526093381)	(22, 0.0002887448340368104)	(24, 0.00033279065617801873)	(26, 0.00040620035974669934)	(28, 0.0004453522016499956)	(30, 0.0005334438459324124)	(32, 0.0006215354902148291)	(34, 0.0007732488775901024)	(36, 0.0009200682847274635)	(38, 0.0011941311780505378)	(40, 0.0014828760120873482)	(42, 0.0018988643323098716)	(44, 0.0025497637039521726)	(46, 0.0032398149174977706)	(48, 0.004169671162701058)	(50, 0.005393166222179068)	(52, 0.006934769997121361)	(54, 0.008814058408479583)	(56, 0.0113002003693389)	(58, 0.014143602887565797)	(60, 0.017951119512661363)	(62, 0.022830417809859668)	(64, 0.028575950609168402)	(66, 0.03624971162221448)	(68, 0.0457685031849534)	(70, 0.05726935674404669)	(72, 0.07272944031561082)	(74, 0.092305361267259)	(76, 0.11616840890731808)	(78, 0.14606573418072277)	(80, 0.18338722747503997)	(82, 0.22968917450592577)	(84, 0.2872423821037714)	(86, 0.35966350166439376)	(88, 0.44819560416822257)
SRR960464 - polya	(1, 0.004287126688410947)	(2, 0.015259430381809741)	(3, 0.020740688248271227)	(4, 0.037673859871446884)	(5, 0.0444275525997655)	(6, 0.05026117704335665)	(7, 0.057944726016878556)	(8, 0.0697490063507224)	(9, 0.09122379163468043)	(10, 0.11802322741748675)	(12, 0.13187808547101576)	(14, 0.14710815197139804)	(16, 0.16101684380754405)	(18, 0.17373629844587743)	(20, 0.18513437841997454)	(22, 0.20117195165961232)	(24, 0.21683758240116877)	(26, 0.23878708376820426)	(28, 0.2703728322236886)	(30, 0.28983619162986474)	(32, 0.3037546714264866)	(34, 0.3178248646104837)	(36, 0.3310435052330841)	(38, 0.34267160227836313)	(40, 0.35488208297195367)	(42, 0.3674057784007706)	(44, 0.3801301270193419)	(46, 0.3935836786933621)	(48, 0.4059850246162312)	(50, 0.41631621689846354)	(52, 0.4264027101688002)	(54, 0.4372428763957754)	(56, 0.4488171396584374)	(58, 0.460190749731345)	(60, 0.4692935529738613)	(62, 0.47840125019661567)	(64, 0.48844859162504906)	(66, 0.49826102200206274)	(68, 0.5083426212921616)	(70, 0.5184193266020224)	(72, 0.5296852691096959)	(74, 0.5390474533048216)	(76, 0.5499267713737002)	(78, 0.5619708567392017)	(80, 0.5721454416538208)	(82, 0.5809399241413488)	(84, 0.5906838387950315)	(86, 0.6022042682750766)	(88, 0.6121439421382759)
SRR960465 - illumina_universal_adapter	(1, 0.0)	(2, 0.0)	(3, 5.327945146886652e-06)	(4, 3.729561602820657e-05)	(5, 3.729561602820657e-05)	(6, 5.8607396615753176e-05)	(7, 6.926328690952648e-05)	(8, 6.926328690952648e-05)	(9, 7.459123205641314e-05)	(10, 0.0001012309577908464)	(12, 0.00015451040925971293)	(14, 0.00022643766874268274)	(16, 0.0003063568459459825)	(18, 0.00038094807800239565)	(20, 0.0004555393100588088)	(22, 0.0005514423227027684)	(24, 0.0006393534176263984)	(26, 0.0007272645125500281)	(28, 0.0008391513606346478)	(30, 0.0009909977973209174)	(32, 0.00127337889010591)	(34, 0.001648999022961419)	(36, 0.002099210387873341)	(38, 0.0027305718877794092)	(40, 0.0036309946176032535)	(42, 0.00490970145285605)	(44, 0.006553372530670582)	(46, 0.008276962785688414)	(48, 0.010701177827521842)	(50, 0.013740770533820678)	(52, 0.017832632406629627)	(54, 0.02317123344381005)	(56, 0.02947952049772385)	(58, 0.036648270692859836)	(60, 0.04596418278219115)	(62, 0.058194480866869465)	(64, 0.07304879193638944)	(66, 0.09170991981335995)	(68, 0.11449221326144728)	(70, 0.14233072665393004)	(72, 0.17753246023941016)	(74, 0.22267613946898074)	(76, 0.2794507229542049)	(78, 0.3480853123363988)	(80, 0.4319711447015557)	(82, 0.5364787887577374)	(84, 0.6681882567613489)	(86, 0.8328270897452933)	(88, 1.0301581941505344)
SRR960465 - polya	(1, 0.012787068352527966)	(2, 0.023208529059838258)	(3, 0.027337686548675414)	(4, 0.03498328783445776)	(5, 0.03901654231065096)	(6, 0.04228790063083936)	(7, 0.04684862167657434)	(8, 0.05573563418158127)	(9, 0.0708936381244738)	(10, 0.08525245029533332)	(12, 0.09494931046266704)	(14, 0.10892717455552417)	(16, 0.12244150742060217)	(18, 0.13520992796511602)	(20, 0.1504265393046243)	(22, 0.1700893208692095)	(24, 0.18836417272303072)	(26, 0.21128232877236364)	(28, 0.23264738881137914)	(30, 0.24771748165934804)	(32, 0.26074164357091245)	(34, 0.2743065919148859)	(36, 0.286829926982643)	(38, 0.29930264657150457)	(40, 0.31243336738600674)	(42, 0.3256147036794043)	(44, 0.3392382594199935)	(46, 0.3536423591246015)	(48, 0.36609110296030223)	(50, 0.3774556099586115)	(52, 0.38812215614267853)	(54, 0.4016364890077565)	(56, 0.4138907628455958)	(58, 0.4252579338164785)	(60, 0.4346910606990413)	(62, 0.445283015651052)	(64, 0.45623727087305094)	(66, 0.467119598835567)	(68, 0.47879046267982217)	(70, 0.49073038775399513)	(72, 0.5041008661001072)	(74, 0.515601235699662)	(76, 0.5281618663834473)	(78, 0.5404427799470211)	(80, 0.5498013155975274)	(82, 0.5586510324865062)	(84, 0.5700954586620187)	(86, 0.5832821229005631)	(88, 0.5947691726372508)
SRR960466 - illumina_universal_adapter	(1, 0.0)	(2, 0.0)	(3, 5.779804588274753e-06)	(4, 2.8899022941373765e-05)	(5, 3.467882752964852e-05)	(6, 5.201824129447278e-05)	(7, 6.935765505929704e-05)	(8, 6.935765505929704e-05)	(9, 7.513745964757179e-05)	(10, 0.00010692638488308292)	(12, 0.00015605472388341836)	(14, 0.00020518306288375374)	(16, 0.00025720130417822653)	(18, 0.0003323387638257983)	(20, 0.0004334853441206065)	(22, 0.0005461915335919641)	(24, 0.0006473381138867723)	(26, 0.0007947231308877786)	(28, 0.0009507778547711968)	(30, 0.0011472912107725385)	(32, 0.0013409146644797428)	(34, 0.001719491865011739)	(36, 0.002202105548132681)	(38, 0.0028436638574311788)	(40, 0.0038262306374378867)	(42, 0.005045769405563859)	(44, 0.006667004592574927)	(46, 0.00868126649158868)	(48, 0.011198371389782334)	(50, 0.014235658700920717)	(52, 0.01824106328059512)	(54, 0.02318857600815831)	(56, 0.02924581121667025)	(58, 0.03617868682030582)	(60, 0.04522119109866167)	(62, 0.05676924066603463)	(64, 0.07160021923954765)	(66, 0.08998577763484963)	(68, 0.11140284353670174)	(70, 0.13904764888241988)	(72, 0.17345771549871364)	(74, 0.21869046620655183)	(76, 0.27527475312576166)	(78, 0.34308053065310695)	(80, 0.4253011408236095)	(82, 0.526349464440417)	(84, 0.6563257100215396)	(86, 0.818923172698885)	(88, 1.0090874133600067)
SRR960466 - polya	(1, 0.013102817001618866)	(2, 0.02387059294957473)	(3, 0.028170767563251146)	(4, 0.036042861412481364)	(5, 0.039903770877448896)	(6, 0.04337743343500202)	(7, 0.04770072726703154)	(8, 0.056827038711917376)	(9, 0.0721377410662572)	(10, 0.08692826100765229)	(12, 0.0964244799461877)	(14, 0.11035958880851815)	(16, 0.12380919408543349)	(18, 0.13704494659258268)	(20, 0.1523267499239811)	(22, 0.17149836174328847)	(24, 0.190042864764768)	(26, 0.21338749549680974)	(28, 0.23558483501807892)	(30, 0.2504707217351806)	(32, 0.26315450290414955)	(34, 0.27678039222100725)	(36, 0.2889873395114435)	(38, 0.30143414869229324)	(40, 0.31460921325126545)	(42, 0.3277842778102378)	(44, 0.34171938667256824)	(46, 0.35596082517807726)	(48, 0.3682284604166904)	(50, 0.37918985981835346)	(52, 0.3900038742030155)	(54, 0.403245406514753)	(56, 0.41536276683407103)	(58, 0.42639063398849925)	(60, 0.4356354314274447)	(62, 0.44663150965663745)	(64, 0.45766226671335974)	(66, 0.4683693547131388)	(68, 0.4799520831080414)	(70, 0.49187581997365215)	(72, 0.5051260219922721)	(74, 0.5163243933820544)	(76, 0.5291873484932599)	(78, 0.5413711765653431)	(80, 0.550942532963526)	(82, 0.5604532014135322)	(84, 0.5719232236189633)	(86, 0.5852716823155839)	(88, 0.5971405110376061)
SRR960467 - illumina_universal_adapter	(1, 0.0)	(2, 0.0)	(3, 1.8665593021756055e-05)	(4, 3.110932170292676e-05)	(5, 3.110932170292676e-05)	(6, 5.5996779065268166e-05)	(7, 6.844050774643886e-05)	(8, 7.466237208702422e-05)	(9, 7.466237208702422e-05)	(10, 9.643889727907294e-05)	(12, 0.0001399919476631704)	(14, 0.0002333199127719507)	(16, 0.000326647877880731)	(18, 0.00044797423252214533)	(20, 0.000547524061971511)	(22, 0.00066262855227234)	(24, 0.0007746221104028763)	(26, 0.0008710610076819493)	(28, 0.0010826043952618513)	(30, 0.001303480579352631)	(32, 0.0017016798971500936)	(34, 0.002152765061842532)	(36, 0.002858946664498969)	(38, 0.003730007672180918)	(40, 0.00487171977867833)	(42, 0.006330746966545595)	(44, 0.008178640675699445)	(46, 0.010328294805371684)	(48, 0.01310013536910246)	(50, 0.016621710585873768)	(52, 0.02129744163782366)	(54, 0.02745086547066257)	(56, 0.03427002878794412)	(58, 0.04215313090746576)	(60, 0.05212677944542408)	(62, 0.06479138431068555)	(64, 0.08092778947799367)	(66, 0.10003513486793128)	(68, 0.12238096064714357)	(70, 0.14975094188137855)	(72, 0.18431650922550047)	(74, 0.22890550002230536)	(76, 0.2843236457038991)	(78, 0.35068916169275277)	(80, 0.4310538724479235)	(82, 0.5280994015002035)	(84, 0.6488409008936028)	(86, 0.8005548409744361)	(88, 0.9827310288667752)
SRR960467 - polya	(1, 0.015336895599542892)	(2, 0.02563408108321165)	(3, 0.029510302567396323)	(4, 0.037038758419504596)	(5, 0.040964754818413954)	(6, 0.04377703750035854)	(7, 0.047752808813992575)	(8, 0.05596566974356524)	(9, 0.07096036280437594)	(10, 0.08543553019274776)	(12, 0.09502964500593036)	(14, 0.10885151663854073)	(16, 0.12188321149989675)	(18, 0.13457270382252057)	(20, 0.1492531927341317)	(22, 0.16746770059119534)	(24, 0.18487336608398286)	(26, 0.20640412763457847)	(28, 0.2270700500418327)	(30, 0.24154832836237483)	(32, 0.25363429984396185)	(34, 0.2673379560541011)	(36, 0.27924971533415177)	(38, 0.29155345206765926)	(40, 0.30446382057437393)	(42, 0.3171315363718057)	(44, 0.33030633411299515)	(46, 0.34393532795104736)	(48, 0.356155069515957)	(50, 0.3671366600770901)	(52, 0.3777729371673208)	(54, 0.3906833056740354)	(56, 0.4030710375761408)	(58, 0.414712145757376)	(60, 0.4237929567624603)	(62, 0.4339968142810203)	(64, 0.4450748437394325)	(66, 0.45518226236071346)	(68, 0.4659523095342667)	(70, 0.47718277466902326)	(72, 0.4896171705536831)	(74, 0.49973392197147487)	(76, 0.5117327873522937)	(78, 0.5233832283300398)	(80, 0.5324578174707835)	(82, 0.5413301960204582)	(84, 0.5518140374343445)	(86, 0.5641519944217253)	(88, 0.5753046862522246)
SRR960468 - illumina_universal_adapter	(1, 0.0)	(2, 0.0)	(3, 1.3540709296204708e-05)	(4, 4.739248253671648e-05)	(5, 5.416283718481883e-05)	(6, 6.770354648102355e-05)	(7, 6.770354648102355e-05)	(8, 7.44739011291259e-05)	(9, 7.44739011291259e-05)	(10, 0.00011509602901774002)	(12, 0.00018618475282281474)	(14, 0.00023357723535953124)	(16, 0.0003114363138127083)	(18, 0.00040283610156209007)	(20, 0.0004739248253671648)	(22, 0.0005314728398760349)	(24, 0.0006567244008659284)	(26, 0.0007989018484760778)	(28, 0.0009681607146786366)	(30, 0.001184812063417912)	(32, 0.0016181147608964625)	(34, 0.002068343344995269)	(36, 0.00267429008600043)	(38, 0.00347996228912461)	(40, 0.004502285840988066)	(42, 0.0057784976921553596)	(44, 0.007542175077986022)	(46, 0.009756081047915493)	(48, 0.012457452552508332)	(50, 0.01598480732416966)	(52, 0.020399078554732393)	(54, 0.025828902982510483)	(56, 0.032443539473706484)	(58, 0.03964381164196334)	(60, 0.049332189143397806)	(62, 0.06147143502744533)	(64, 0.07665395532581486)	(66, 0.09529951202668874)	(68, 0.11806821470825696)	(70, 0.14459107904219792)	(72, 0.17776243164057542)	(74, 0.22095729429546843)	(76, 0.2749576429687328)	(78, 0.34103968951153585)	(80, 0.41934899654881175)	(82, 0.5152476849618575)	(84, 0.6349814069135477)	(86, 0.7841221642792704)	(88, 0.9628798380531167)
SRR960468 - polya	(1, 0.015463490016265777)	(2, 0.026018472912657346)	(3, 0.02970831619587313)	(4, 0.03756869794231996)	(5, 0.04148873328357123)	(6, 0.044420296846199546)	(7, 0.04842157644322804)	(8, 0.05696576400913321)	(9, 0.07179284068847737)	(10, 0.08660637665852532)	(12, 0.09661634600574465)	(14, 0.11065467636858488)	(16, 0.12403289715323514)	(18, 0.13656143842954854)	(20, 0.15172026248664972)	(22, 0.17119857280924017)	(24, 0.18862546567345564)	(26, 0.21075775501810223)	(28, 0.2319489650666626)	(30, 0.24626826514739908)	(32, 0.25882727301962893)	(34, 0.2725744781326008)	(36, 0.28517410813271926)	(38, 0.2973742872085997)	(40, 0.3106374119642322)	(42, 0.32406302523141917)	(44, 0.3375834234636796)	(46, 0.3520618268786465)	(48, 0.36452943496312695)	(50, 0.375710675664468)	(52, 0.3864179915404419)	(54, 0.3997048125373427)	(56, 0.41174927345631684)	(58, 0.42320809869823006)	(60, 0.4324936400981024)	(62, 0.44282520129110664)	(64, 0.4536171466001818)	(66, 0.4641416629006569)	(68, 0.4748252825353624)	(70, 0.4862096338761465)	(72, 0.49904284111162456)	(74, 0.5094928835109706)	(76, 0.5214831815927597)	(78, 0.5329047698841085)	(80, 0.5421327632694719)	(82, 0.5512727420444101)	(84, 0.5622034796237714)	(86, 0.5747049394814924)	(88, 0.5857744693311397)
SRR960469 - illumina_universal_adapter	(1, 0.0)	(2, 0.0)	(3, 8.06216184773785e-06)	(4, 2.418648554321355e-05)	(5, 2.418648554321355e-05)	(6, 4.83729710864271e-05)	(7, 4.83729710864271e-05)	(8, 6.44972947819028e-05)	(9, 7.255945662964066e-05)	(10, 0.00012093242771606775)	(12, 0.00017333647972636379)	(14, 0.00022170945081279088)	(16, 0.0002620202600514801)	(18, 0.00031845539298564504)	(20, 0.00042729457793010605)	(22, 0.0004877607917881399)	(24, 0.0005482270056461738)	(26, 0.0006570661905906348)	(28, 0.0007497810518396201)	(30, 0.0008787756414034256)	(32, 0.001128702658683299)	(34, 0.0014713445372121577)	(36, 0.0019026701960661327)	(38, 0.002450897201712306)	(40, 0.003341766085887339)	(42, 0.004551090363048016)	(44, 0.006026465981184044)	(46, 0.007892856448935354)	(48, 0.010283287436789627)	(50, 0.013165510297355909)	(52, 0.017349772296331854)	(54, 0.02279576262447877)	(56, 0.029269678588212264)	(58, 0.03713834855160441)	(60, 0.047655438681978426)	(62, 0.06054280439558739)	(64, 0.07785629696360441)	(66, 0.09971281773282173)	(68, 0.12564073023514666)	(70, 0.15746611412909184)	(72, 0.19863554360456515)	(74, 0.25075741995019035)	(76, 0.31875772405493524)	(78, 0.40170930730631)	(80, 0.502796723634171)	(82, 0.6287639714241511)	(84, 0.787919108460344)	(86, 0.9871270655560985)	(88, 1.2257831805728343)
